                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 0.5846,                0.41808,                 1.1323,                0.79098,                0.75105,                0.77628,                0.52929,                 1.2446,                 1.0877,                 1.9411,               0.003268,               0.003268,               0.003268
                     70,                0.57925,                0.41302,                 1.1269,                0.76842,                0.75555,                0.76966,                0.52538,                  1.264,                  1.088,                 1.9539,               0.003169,               0.003169,               0.003169
                     71,                0.57312,                0.41529,                 1.1233,                 0.7782,                0.75022,                0.77407,                0.52779,                  1.254,                  1.087,                 1.9605,                0.00307,                0.00307,                0.00307
                     72,                0.57281,                0.40634,                 1.1219,                0.79525,                0.74067,                0.77351,                0.52773,                 1.2518,                 1.0852,                 1.9651,               0.002971,               0.002971,               0.002971
                     73,                0.56019,                 0.3987,                 1.1162,                0.79038,                0.74963,                0.77239,                0.52786,                 1.2412,                 1.0834,                 1.9564,               0.002872,               0.002872,               0.002872
                     74,                0.55688,                0.39487,                 1.1153,                0.80205,                0.75085,                0.77409,                0.52844,                 1.2345,                 1.0785,                 1.9447,               0.002773,               0.002773,               0.002773
                     75,                0.55353,                  0.395,                 1.1108,                0.80719,                0.74472,                0.77155,                0.52428,                 1.2526,                 1.0913,                 1.9682,               0.002674,               0.002674,               0.002674
                     76,                0.54652,                0.39058,                 1.1078,                 0.7811,                0.76846,                 0.7755,                0.52507,                 1.2643,                 1.1199,                 1.9849,               0.002575,               0.002575,               0.002575
                     77,                0.54396,                0.38452,                  1.105,                0.81659,                 0.7408,                0.77114,                0.52623,                 1.2591,                 1.1055,                 1.9771,               0.002476,               0.002476,               0.002476
                     78,                0.54075,                0.38077,                 1.1008,                0.81737,                0.73594,                0.76801,                0.52073,                 1.2504,                 1.0923,                 1.9641,               0.002377,               0.002377,               0.002377
                     79,                0.53587,                0.38305,                 1.1005,                 0.7935,                0.74527,                0.77069,                0.52318,                 1.2581,                 1.0991,                  1.978,               0.002278,               0.002278,               0.002278
                     80,                 0.5281,                0.37871,                 1.0962,                0.80407,                0.74279,                0.77556,                0.52792,                 1.2607,                 1.0947,                  1.982,               0.002179,               0.002179,               0.002179
                     81,                0.52587,                  0.375,                 1.0939,                0.79717,                0.75148,                 0.7719,                0.52627,                 1.2653,                 1.0953,                 1.9962,                0.00208,                0.00208,                0.00208
                     82,                0.52036,                0.36898,                  1.088,                0.80465,                0.74453,                0.77372,                0.52533,                  1.265,                 1.0961,                 2.0081,               0.001981,               0.001981,               0.001981
                     83,                0.52148,                0.36937,                 1.0917,                0.80729,                0.74864,                0.77869,                0.53193,                   1.25,                 1.1025,                 1.9917,               0.001882,               0.001882,               0.001882
                     84,                0.51205,                0.36203,                 1.0819,                0.78251,                0.78084,                0.77711,                0.52941,                 1.2513,                 1.1138,                 1.9947,               0.001783,               0.001783,               0.001783
                     85,                0.51029,                0.36082,                 1.0805,                0.79183,                0.77147,                 0.7744,                0.52811,                 1.2585,                 1.1174,                 2.0078,               0.001684,               0.001684,               0.001684
                     86,                0.50774,                 0.3577,                 1.0802,                0.80737,                0.75662,                 0.7748,                0.52784,                 1.2556,                 1.1219,                 2.0086,               0.001585,               0.001585,               0.001585
                     87,                0.49811,                0.35449,                 1.0731,                0.81922,                0.74746,                0.77768,                0.53023,                 1.2621,                 1.1272,                 2.0206,               0.001486,               0.001486,               0.001486
                     88,                0.49241,                0.34834,                 1.0721,                0.81901,                0.74775,                0.77741,                0.52815,                 1.2619,                 1.1245,                 2.0298,               0.001387,               0.001387,               0.001387
                     89,                0.49026,                0.34896,                 1.0729,                0.81389,                0.75288,                0.77989,                0.52894,                 1.2621,                 1.1343,                 2.0341,               0.001288,               0.001288,               0.001288
                     90,                0.43237,                0.25633,                 1.0764,                0.81079,                0.75704,                0.77775,                0.52857,                 1.2575,                 1.1294,                 2.0316,               0.001189,               0.001189,               0.001189
                     91,                0.41475,                0.23941,                 1.0578,                0.82132,                0.74219,                 0.7778,                0.52882,                 1.2523,                 1.1163,                 2.0267,                0.00109,                0.00109,                0.00109
                     92,                0.40201,                0.23138,                 1.0467,                0.80944,                0.74704,                0.77526,                0.52942,                 1.2501,                 1.1144,                 2.0296,               0.000991,               0.000991,               0.000991
                     93,                0.39333,                0.22886,                 1.0336,                0.79626,                0.75428,                0.77291,                0.52782,                 1.2482,                 1.1137,                 2.0329,               0.000892,               0.000892,               0.000892
                     94,                0.38371,                0.22239,                 1.0271,                0.78209,                0.77125,                0.77433,                 0.5258,                 1.2515,                 1.1138,                 2.0445,               0.000793,               0.000793,               0.000793
                     95,                0.38222,                0.21721,                 1.0275,                0.78283,                0.77409,                0.77365,                0.52486,                 1.2528,                 1.1203,                 2.0524,               0.000694,               0.000694,               0.000694
                     96,                0.37865,                0.21759,                 1.0273,                0.78442,                0.77555,                 0.7744,                0.52626,                 1.2546,                 1.1234,                 2.0609,               0.000595,               0.000595,               0.000595
                     97,                0.36602,                0.21241,                 1.0124,                0.78901,                0.76868,                0.77464,                0.52541,                 1.2531,                 1.1253,                 2.0669,               0.000496,               0.000496,               0.000496
                     98,                0.36565,                0.20958,                 1.0195,                0.78856,                0.76946,                0.77256,                0.52335,                 1.2499,                 1.1288,                 2.0672,               0.000397,               0.000397,               0.000397
                     99,                0.35677,                0.20647,                 1.0138,                0.79389,                0.75864,                0.77336,                0.52363,                 1.2514,                   1.13,                 2.0761,               0.000298,               0.000298,               0.000298
